Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions,Save% (Penalty Kicks)
Bruno Martins Indi,NED,DF,33,Sparta R'dam,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.02,0.02,0.01,0.03,0.69,4.30,0.23,Shooting,Per 90,0.46,0.17,37.5%,0.00,0.00,14.30,0.00,0.03,-0.02,-0.02,Passing,52.00,57.80,90.0%,1044.47,360.52,14.58,15.33,95.1%,31.86,33.46,95.2%,5.40,8.44,63.9%,0.05,0.17,4.94,0.57,0.06,Pass Types,53.67,4.02,1.78,0.11,0.29,0.06,0.06,0.00,0.00,0.00,0.00,0.11,0.34,Goal and Shot Creation,1.15,0.98,0.06,0.00,0.06,0.00,0.06,0.11,0.11,0.00,0.00,0.00,0.00,0.00,Defense,0.63,0.52,0.34,0.29,0.00,0.11,0.17,66.7%,0.06,1.09,0.75,1.09,1.72,6.43,0.06,Possession,68.42,11.08,32.54,33.35,2.81,0.75,68.42,0.17,0.00,0.0%,0.17,100.0%,42.13,196.07,108.08,0.46,0.00,0.29,0.00,46.26,Miscellaneous Stats,0.00,1.09,0.80,0.06,0.00,0.00,0.00,3.10,2.07,1.49,58.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Mbuyamba,NED,"DF,MF",24,Volendam,Eredivisie,0.12,0.00,0.12,0.12,0.00,0.00,0.24,0.00,0.10,0.10,0.05,0.13,1.08,5.41,0.48,Shooting,Per 90,1.20,0.36,30.0%,0.10,0.33,13.60,0.00,0.08,+0.02,+0.02,Passing,41.03,50.41,81.4%,833.34,322.10,11.91,14.80,80.5%,22.98,25.39,90.5%,5.66,8.66,65.3%,0.05,0.36,5.66,0.24,0.00,Pass Types,48.25,1.80,1.32,0.00,0.36,0.12,0.24,0.00,0.00,0.00,0.00,0.36,0.84,Goal and Shot Creation,1.32,0.96,0.00,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,2.17,1.08,1.80,0.36,0.00,0.96,2.05,47.1%,1.08,2.17,1.32,0.84,3.01,6.02,0.00,Possession,65.09,8.78,28.64,31.16,5.66,2.17,65.09,0.36,0.24,66.7%,0.12,33.3%,35.62,165.80,91.20,0.12,0.12,0.96,0.24,41.75,Miscellaneous Stats,0.00,1.20,0.72,0.00,0.00,0.00,0.00,3.25,2.89,1.93,60.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexx Meerdink,NED,FW,22,AZ Alkmaar,Eredivisie,0.53,0.08,0.60,0.38,0.15,0.15,0.15,0.00,0.51,0.41,0.05,0.45,1.13,2.18,5.11,Shooting,Per 90,3.16,1.20,38.1%,0.12,0.31,14.70,0.08,0.13,+0.02,-0.03,Passing,12.55,19.31,65.0%,171.89,40.79,7.74,10.52,73.6%,3.23,5.11,63.2%,0.68,0.98,69.2%,0.05,0.75,1.28,0.90,0.00,Pass Types,18.26,0.98,0.00,0.00,0.08,0.38,0.08,0.08,0.00,0.00,0.00,0.08,0.53,Goal and Shot Creation,2.18,1.28,0.08,0.15,0.23,0.45,0.00,0.30,0.15,0.00,0.00,0.08,0.08,0.00,Defense,0.68,0.23,0.00,0.53,0.15,0.30,0.68,44.4%,0.38,0.60,0.08,0.08,0.75,0.53,0.08,Possession,30.80,1.20,2.55,12.55,16.00,5.33,30.65,1.65,0.75,45.5%,0.75,45.5%,16.60,67.01,22.39,0.53,0.53,2.70,0.98,22.31,Miscellaneous Stats,0.00,1.20,1.20,0.38,0.00,0.00,0.00,2.25,3.53,3.08,53.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Meissen,NED,DF,23,Excelsior,Eredivisie,0.00,0.13,0.13,0.00,0.00,0.00,0.20,0.00,0.03,0.03,0.03,0.06,0.98,2.54,0.13,Shooting,Per 90,0.39,0.20,50.0%,0.00,0.00,14.00,0.00,0.08,-0.03,-0.03,Passing,35.49,41.29,86.0%,744.29,199.99,7.95,9.05,87.8%,21.56,23.70,90.9%,5.60,7.68,72.9%,0.03,0.26,1.89,0.07,0.00,Pass Types,40.05,1.17,1.11,0.00,0.26,0.07,0.00,0.00,0.00,0.00,0.00,0.07,0.59,Goal and Shot Creation,0.85,0.65,0.00,0.00,0.13,0.00,0.07,0.13,0.07,0.00,0.00,0.07,0.00,0.00,Defense,1.04,0.65,0.65,0.26,0.13,0.52,0.85,61.5%,0.33,1.95,1.37,1.63,2.67,5.28,0.07,Possession,53.08,7.55,25.92,25.46,1.95,0.59,53.08,0.20,0.13,66.7%,0.07,33.3%,30.41,169.06,75.15,0.20,0.00,0.46,0.13,31.58,Miscellaneous Stats,0.00,0.78,0.52,0.00,0.00,0.07,0.00,4.10,1.50,1.24,54.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrique Mercera,CUW,DF,22,Groningen,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.18,0.22,0.99,1.19,7.75,Shooting,Per 90,0.60,0.00,0.0%,0.00,,16.70,0.00,0.05,-0.04,-0.04,Passing,31.39,42.12,74.5%,560.46,102.52,12.72,16.89,75.3%,15.50,20.26,76.5%,2.38,3.38,70.6%,0.16,0.60,0.99,1.19,0.20,Pass Types,30.79,11.13,0.99,0.00,0.20,1.99,10.13,0.00,0.00,0.00,0.00,0.20,0.00,Goal and Shot Creation,0.79,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.99,0.60,1.39,0.40,0.20,0.99,1.19,83.3%,0.20,0.60,0.60,0.99,2.98,2.78,0.00,Possession,55.63,2.19,14.11,23.05,18.68,1.79,55.63,0.79,0.20,25.0%,0.60,75.0%,22.25,91.59,44.70,0.60,0.20,1.79,0.00,24.83,Miscellaneous Stats,0.00,2.19,0.40,0.00,0.00,0.00,0.00,3.38,2.38,4.17,36.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Mesík,SVK,DF,24,Heracles Almelo,Eredivisie,0.09,0.00,0.09,0.09,0.00,0.00,0.31,0.00,0.06,0.06,0.06,0.12,1.13,2.69,1.80,Shooting,Per 90,0.92,0.21,23.3%,0.10,0.43,15.50,0.00,0.07,+0.03,+0.03,Passing,37.75,45.75,82.5%,717.68,246.21,14.51,16.43,88.3%,18.84,21.50,87.6%,3.97,6.63,59.9%,0.07,0.37,2.38,0.34,0.09,Pass Types,40.95,4.79,0.79,0.06,0.09,0.95,3.21,0.03,0.03,0.00,0.00,0.00,0.40,Goal and Shot Creation,0.92,0.73,0.06,0.00,0.03,0.06,0.03,0.03,0.00,0.00,0.00,0.00,0.03,0.00,Defense,1.25,0.82,0.79,0.46,0.00,0.52,0.82,63.0%,0.31,1.40,1.01,0.89,2.14,7.12,0.03,Possession,59.37,9.07,30.20,22.75,6.84,1.59,59.37,0.73,0.27,37.5%,0.31,41.7%,30.02,179.42,87.59,0.79,0.15,0.67,0.21,33.93,Miscellaneous Stats,0.00,1.37,0.86,0.15,0.03,0.03,0.00,3.60,0.95,0.98,49.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melle Meulensteen,NED,"MF,DF",26,Go Ahead Eag,Eredivisie,0.25,0.00,0.25,0.25,0.00,0.00,0.17,0.00,0.13,0.13,0.03,0.16,1.58,5.78,1.21,Shooting,Per 90,1.33,0.54,40.6%,0.19,0.46,16.90,0.00,0.10,+0.12,+0.12,Passing,45.23,52.93,85.5%,788.57,263.88,19.51,21.39,91.2%,21.14,22.80,92.7%,3.70,6.28,58.9%,0.05,0.46,5.53,0.58,0.29,Pass Types,51.47,1.33,0.83,0.00,0.46,0.71,0.21,0.00,0.00,0.00,0.00,0.12,0.58,Goal and Shot Creation,1.25,0.96,0.00,0.04,0.17,0.00,0.08,0.17,0.12,0.00,0.00,0.04,0.00,0.00,Defense,1.75,0.92,0.87,0.83,0.04,0.71,1.75,40.5%,1.04,1.21,0.62,1.46,3.20,3.20,0.04,Possession,65.41,5.83,18.93,36.07,10.90,1.58,65.41,1.17,0.79,67.9%,0.29,25.0%,38.03,219.49,118.04,1.50,0.21,1.08,0.79,42.07,Miscellaneous Stats,0.00,0.62,0.87,0.12,0.00,0.00,0.00,5.33,1.33,1.91,41.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Michut,FRA,MF,22,Fortuna Sittard,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.06,0.10,0.10,0.02,0.13,1.49,2.86,2.86,Shooting,Per 90,1.27,0.22,17.4%,0.00,0.00,19.70,0.00,0.08,-0.10,-0.10,Passing,33.87,38.34,88.4%,525.68,92.26,17.63,19.44,90.7%,13.60,14.60,93.2%,1.54,2.59,59.6%,0.06,0.66,2.86,0.39,0.06,Pass Types,35.75,2.59,0.94,0.00,0.22,1.16,0.11,0.28,0.17,0.11,0.00,0.00,0.99,Goal and Shot Creation,2.26,1.65,0.00,0.22,0.06,0.22,0.11,0.06,0.00,0.00,0.00,0.00,0.06,0.00,Defense,2.59,1.98,0.83,1.32,0.44,1.16,2.31,50.0%,1.16,1.32,0.33,1.82,4.41,1.27,0.00,Possession,51.39,1.32,9.42,27.93,14.38,1.65,51.39,1.49,0.50,33.3%,0.77,51.9%,28.53,153.45,70.23,0.83,0.39,1.98,1.38,32.77,Miscellaneous Stats,0.06,1.98,2.59,0.00,0.06,0.00,0.00,3.86,0.83,0.94,46.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sven Mijnans,NED,MF,25,AZ Alkmaar,Eredivisie,0.38,0.24,0.61,0.38,0.00,0.07,0.03,0.00,0.53,0.48,0.29,0.77,1.23,5.43,5.87,Shooting,Per 90,3.79,1.57,41.4%,0.10,0.24,16.80,0.17,0.13,-0.16,-0.10,Passing,37.13,47.75,77.8%,590.48,179.93,18.58,21.28,87.3%,13.08,16.19,80.8%,3.24,6.25,51.9%,0.35,2.66,2.73,1.95,0.27,Pass Types,41.26,6.35,1.54,0.48,0.24,3.59,0.51,3.04,1.43,0.61,0.03,0.14,1.20,Goal and Shot Creation,4.85,3.21,0.92,0.31,0.41,0.00,0.00,0.48,0.27,0.03,0.07,0.10,0.00,0.00,Defense,1.26,0.72,0.27,0.82,0.17,0.31,0.85,36.0%,0.55,1.40,0.20,0.68,1.95,1.16,0.03,Possession,60.83,1.47,7.92,26.20,27.19,5.46,60.76,2.25,0.92,40.9%,1.26,56.1%,30.09,120.47,50.55,1.06,0.72,1.95,1.54,40.37,Miscellaneous Stats,0.00,0.55,0.89,0.20,0.00,0.00,0.00,4.65,0.61,0.92,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Min,NED,"FW,MF",26,Utrecht,Eredivisie,0.30,0.00,0.30,0.30,0.00,0.00,0.15,0.00,0.45,0.45,0.08,0.52,0.91,1.51,4.47,Shooting,Per 90,2.20,0.61,27.6%,0.14,0.50,12.50,0.00,0.20,-0.14,-0.14,Passing,14.00,19.30,72.5%,202.03,38.38,7.49,10.07,74.4%,5.00,6.36,78.6%,0.61,1.06,57.1%,0.06,1.06,1.44,0.45,0.00,Pass Types,18.85,0.30,0.00,0.15,0.15,0.08,0.15,0.00,0.00,0.00,0.00,0.15,0.83,Goal and Shot Creation,2.27,1.82,0.00,0.08,0.00,0.30,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,0.68,0.38,0.08,0.38,0.23,0.15,0.68,22.2%,0.53,1.06,0.23,0.30,0.98,1.14,0.00,Possession,32.09,1.51,3.71,15.74,13.25,3.56,32.09,1.89,0.76,40.0%,0.91,48.0%,18.62,96.59,38.91,0.61,0.45,3.71,1.82,24.15,Miscellaneous Stats,0.00,2.20,1.51,0.00,0.00,0.00,0.00,3.10,2.65,3.78,41.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damon Mirani,NED,DF,29,Heracles Almelo,Eredivisie,0.12,0.00,0.12,0.12,0.00,0.00,0.14,0.00,0.05,0.05,0.03,0.07,0.26,3.74,0.20,Shooting,Per 90,0.43,0.17,40.0%,0.27,0.67,10.30,0.00,0.11,+0.07,+0.07,Passing,43.42,50.15,86.6%,872.08,327.08,13.34,14.18,94.1%,24.24,25.96,93.4%,5.20,8.28,62.8%,0.03,0.23,4.31,0.20,0.03,Pass Types,48.51,1.50,1.21,0.06,0.17,0.12,0.20,0.00,0.00,0.00,0.00,0.14,0.40,Goal and Shot Creation,0.92,0.81,0.00,0.03,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,0.98,0.66,0.75,0.23,0.00,0.46,0.92,50.0%,0.46,1.55,1.15,0.92,1.90,7.10,0.09,Possession,62.74,8.60,32.64,27.55,2.76,0.83,62.74,0.29,0.14,50.0%,0.09,30.0%,33.73,150.90,71.34,0.46,0.03,0.43,0.09,39.88,Miscellaneous Stats,0.00,0.75,0.35,0.00,0.00,0.06,0.00,3.42,3.05,2.24,57.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgil Misidjan,SUR,"DF,FW",32,NEC Nijmegen,Eredivisie,0.19,0.38,0.57,0.19,0.00,0.00,0.00,0.00,0.06,0.06,0.29,0.34,5.16,3.25,8.79,Shooting,Per 90,1.53,0.57,37.5%,0.13,0.33,20.50,0.00,0.03,+0.13,+0.13,Passing,27.71,36.69,75.5%,432.42,105.10,15.67,18.54,84.5%,8.60,11.47,75.0%,2.48,4.01,61.9%,0.23,1.34,1.15,0.96,0.00,Pass Types,33.25,3.25,0.57,0.19,0.19,2.68,2.48,0.19,0.00,0.00,0.00,0.19,0.38,Goal and Shot Creation,3.44,2.48,0.19,0.00,0.76,0.00,0.00,0.76,0.57,0.19,0.00,0.00,0.00,0.00,Defense,0.96,0.57,0.19,0.38,0.38,0.57,0.96,60.0%,0.38,0.38,0.00,0.19,1.15,0.38,0.00,Possession,48.54,0.96,4.78,18.15,26.18,4.78,48.54,3.06,0.57,18.8%,2.29,75.0%,31.53,252.99,131.08,1.72,2.29,2.68,1.53,33.82,Miscellaneous Stats,0.00,1.15,1.91,0.57,0.00,0.00,0.00,4.01,1.15,1.15,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shunsuke Mito,JPN,FW,23,Sparta R'dam,Eredivisie,0.22,0.11,0.33,0.22,0.00,0.00,0.00,0.00,0.29,0.29,0.16,0.46,3.51,1.54,8.39,Shooting,Per 90,2.41,1.10,45.5%,0.09,0.20,16.30,0.00,0.12,-0.07,-0.07,Passing,18.37,24.73,74.3%,276.25,57.26,10.53,12.07,87.3%,6.09,8.39,72.5%,1.04,2.19,47.5%,0.12,1.15,0.99,0.71,0.44,Pass Types,24.24,0.49,0.11,0.05,0.05,2.03,0.38,0.00,0.00,0.00,0.00,0.00,0.71,Goal and Shot Creation,2.85,1.86,0.00,0.33,0.38,0.22,0.05,0.27,0.11,0.00,0.05,0.05,0.05,0.00,Defense,1.26,0.71,0.55,0.66,0.05,0.55,1.32,41.7%,0.77,0.77,0.05,0.60,1.86,1.26,0.00,Possession,37.79,1.04,5.92,15.41,17.06,4.72,37.79,3.29,1.10,33.3%,2.03,61.7%,23.75,174.41,84.84,1.59,1.86,2.74,0.99,26.71,Miscellaneous Stats,0.00,0.71,1.59,0.33,0.05,0.00,0.00,3.78,0.77,1.76,30.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan Mitrović,SRB,FW,23,Excelsior,Eredivisie,0.09,0.00,0.09,0.09,0.00,0.00,0.09,0.00,0.30,0.30,0.07,0.37,3.45,2.89,8.12,Shooting,Per 90,2.61,0.47,17.9%,0.04,0.20,16.90,0.09,0.11,-0.21,-0.21,Passing,17.74,25.02,70.9%,270.09,68.71,9.71,11.95,81.3%,6.63,9.06,73.2%,1.03,2.15,47.8%,0.10,0.93,1.21,1.31,0.56,Pass Types,23.90,1.12,0.00,0.00,0.09,3.08,0.56,0.00,0.00,0.00,0.00,0.00,0.47,Goal and Shot Creation,3.27,2.24,0.00,0.19,0.47,0.37,0.00,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Defense,1.12,0.75,0.56,0.47,0.09,0.56,0.84,66.7%,0.28,0.56,0.09,0.47,1.59,0.65,0.00,Possession,37.90,0.93,6.72,13.82,18.39,3.73,37.90,3.08,1.12,36.4%,1.68,54.5%,27.54,245.63,111.47,2.15,1.77,2.80,2.99,27.45,Miscellaneous Stats,0.00,1.21,1.40,0.37,0.00,0.00,0.00,4.01,0.84,2.33,26.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorthy Mokio,BEL,"MF,DF",17,Ajax,Eredivisie,0.22,0.00,0.22,0.22,0.00,0.00,0.11,0.00,0.14,0.14,0.02,0.16,1.62,3.67,2.70,Shooting,Per 90,1.19,0.32,27.3%,0.18,0.67,18.30,0.00,0.12,+0.08,+0.08,Passing,38.57,45.49,84.8%,663.17,164.12,17.07,19.66,86.8%,17.83,20.20,88.2%,2.92,3.78,77.1%,0.05,0.43,2.70,0.22,0.00,Pass Types,39.76,5.40,0.86,0.00,0.43,0.65,4.43,0.11,0.00,0.00,0.00,0.32,1.94,Goal and Shot Creation,1.40,0.86,0.00,0.11,0.32,0.11,0.00,0.11,0.00,0.00,0.00,0.11,0.00,0.00,Defense,2.49,1.19,1.19,0.76,0.54,1.19,2.16,55.0%,0.97,2.38,0.43,0.97,3.46,2.81,0.22,Possession,60.07,3.13,18.04,28.96,13.83,1.73,60.07,2.16,1.08,50.0%,1.08,50.0%,31.01,162.71,72.17,1.94,0.22,2.05,1.30,36.09,Miscellaneous Stats,0.00,0.76,0.86,0.00,0.00,0.00,0.00,5.08,1.19,1.08,52.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamiro Monteiro,CPV,MF,32,Zwolle,Eredivisie,0.10,0.15,0.25,0.10,0.00,0.00,0.15,0.05,0.10,0.10,0.14,0.25,0.86,4.36,2.74,Shooting,Per 90,1.27,0.30,24.0%,0.08,0.33,23.30,0.35,0.08,0.00,0.00,Passing,35.54,42.54,83.6%,590.70,168.79,16.07,17.65,91.1%,14.81,16.58,89.3%,3.04,5.73,53.1%,0.18,1.52,3.55,1.27,0.10,Pass Types,38.59,3.95,1.93,0.41,0.25,2.59,0.10,1.37,0.61,0.56,0.00,0.00,1.06,Goal and Shot Creation,3.25,1.98,0.61,0.00,0.15,0.41,0.10,0.35,0.15,0.10,0.00,0.00,0.10,0.00,Defense,2.89,1.67,1.42,1.17,0.30,1.12,2.23,50.0%,1.12,1.22,0.15,0.71,3.60,0.46,0.05,Possession,54.56,0.51,11.10,29.56,14.60,1.01,54.56,1.67,0.51,30.3%,1.06,63.6%,30.68,145.83,54.56,0.86,0.15,2.38,1.42,36.46,Miscellaneous Stats,0.00,1.22,2.48,0.25,0.05,0.00,0.00,6.34,0.05,0.30,14.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Mühren,NED,"MF,FW",36,Volendam,Eredivisie,0.38,0.00,0.38,0.38,0.00,0.00,0.00,0.00,0.40,0.40,0.06,0.48,0.77,1.15,2.88,Shooting,Per 90,2.12,0.77,36.4%,0.18,0.50,12.60,0.00,0.19,-0.02,-0.02,Passing,9.23,14.62,63.2%,152.50,42.12,4.42,6.35,69.7%,2.69,3.65,73.7%,1.35,2.12,63.6%,0.10,0.96,1.15,0.38,0.00,Pass Types,13.08,1.35,0.00,0.19,0.00,0.58,0.19,0.00,0.00,0.00,0.00,0.19,0.19,Goal and Shot Creation,1.73,1.54,0.00,0.19,0.00,0.00,0.00,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Defense,0.77,0.58,0.19,0.38,0.19,0.38,1.54,25.0%,1.15,0.38,0.19,0.38,1.15,1.35,0.00,Possession,21.35,1.15,4.81,6.54,10.58,4.04,21.35,0.19,0.19,100.0%,0.00,0.0%,9.81,39.81,18.85,0.38,0.77,0.58,0.77,10.77,Miscellaneous Stats,0.00,0.96,0.38,0.58,0.00,0.00,0.00,2.31,0.58,1.54,27.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Younes Namli,DEN,MF,31,Zwolle,Eredivisie,0.61,0.15,0.76,0.61,0.00,0.00,0.00,0.00,0.26,0.26,0.17,0.44,3.34,6.22,5.31,Shooting,Per 90,3.34,1.21,36.4%,0.18,0.50,19.90,0.15,0.08,+0.35,+0.35,Passing,40.07,52.06,77.0%,611.79,208.99,21.55,23.98,89.9%,14.27,17.91,79.7%,2.88,7.29,39.6%,0.21,1.97,6.07,2.58,0.46,Pass Types,47.05,4.86,0.76,0.30,0.15,4.86,0.76,2.58,2.12,0.30,0.00,0.15,0.91,Goal and Shot Creation,5.01,3.95,0.30,0.15,0.61,0.00,0.00,0.61,0.30,0.00,0.15,0.15,0.00,0.00,Defense,0.91,0.15,0.46,0.30,0.15,0.61,2.12,28.6%,1.52,1.06,0.15,0.46,1.37,1.21,0.15,Possession,64.20,1.97,8.04,30.51,26.26,2.73,64.20,2.12,0.76,35.7%,1.37,64.3%,42.04,247.84,120.05,2.43,1.37,1.82,1.82,46.14,Miscellaneous Stats,0.00,1.37,0.76,0.00,0.00,0.00,0.00,6.53,0.30,0.46,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Nassoh,NED,"MF,FW",22,NAC Breda,Eredivisie,0.23,0.06,0.29,0.23,0.00,0.00,0.17,0.00,0.19,0.19,0.18,0.37,3.32,5.33,5.84,Shooting,Per 90,2.29,0.80,35.0%,0.10,0.29,19.20,0.00,0.08,+0.04,+0.04,Passing,32.14,40.79,78.8%,555.75,169.17,16.04,18.45,87.0%,11.29,14.09,80.1%,3.72,5.16,72.2%,0.17,1.72,4.18,1.32,0.57,Pass Types,39.07,1.55,0.69,0.29,0.69,2.52,0.52,0.11,0.06,0.00,0.00,0.17,0.74,Goal and Shot Creation,3.72,2.86,0.23,0.11,0.40,0.11,0.00,0.17,0.11,0.00,0.00,0.06,0.00,0.00,Defense,1.89,1.20,1.15,0.52,0.23,0.69,1.78,38.7%,1.09,0.86,0.11,0.63,2.52,0.69,0.06,Possession,52.59,0.97,8.08,26.64,19.13,2.92,52.59,2.75,1.37,50.0%,1.20,43.8%,34.03,216.03,109.19,2.35,0.69,2.12,1.83,37.81,Miscellaneous Stats,0.00,0.92,1.26,0.17,0.00,0.06,0.00,5.10,0.57,0.80,41.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerrit Nauber,GER,DF,33,Go Ahead Eag,Eredivisie,0.09,0.00,0.09,0.09,0.00,0.00,0.13,0.04,0.08,0.08,0.03,0.10,0.27,2.63,0.22,Shooting,Per 90,0.58,0.18,30.8%,0.15,0.50,10.10,0.00,0.13,+0.01,+0.01,Passing,52.15,59.11,88.2%,1016.39,339.76,16.63,17.61,94.4%,30.49,32.10,95.0%,4.73,8.43,56.1%,0.05,0.31,3.21,0.09,0.00,Pass Types,55.54,3.39,2.32,0.00,0.58,0.04,0.13,0.00,0.00,0.00,0.00,0.18,0.22,Goal and Shot Creation,0.62,0.53,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,0.62,0.45,0.36,0.22,0.04,0.09,0.22,40.0%,0.13,1.65,1.43,0.45,1.07,6.02,0.04,Possession,69.85,11.19,36.91,29.91,3.30,1.52,69.85,0.13,0.13,100.0%,0.00,0.0%,41.41,174.47,87.19,0.13,0.00,0.18,0.04,48.72,Miscellaneous Stats,0.04,0.62,0.18,0.09,0.00,0.00,0.04,2.67,2.59,1.38,65.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
